University Name,University ID,Database Name,Vendor Name,Subject Area,Product Description,Source URL
University of Cambridge,U0005,Archive of Celtic-Latin Literature (ACLL-1),,,"A full-text database containing the corpus of Latin literature produced in Celtic-speaking Europe, together with the Latin works of the Irish “peregrini” on the continent, from the period 400-1200 A.D. Contains more than 400 Latin works spanning the fields of theology, liturgy, computistics, grammar, hagiography, poetry, and historiography, as well as legal texts, charters, inscriptions, and other from Ireland, Wales, Brittany, Cornwall, and Scotland. Compiled as part of the Royal Irish Academy’s Dictionary of Medieval Latin from Celtic Sources project.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archive of Early American Images,,,"A database of graphic representations of the colonial Americas, from Hudson Bay to Tierra del Fuego, drawn entirely from primary sources printed or created between 1492 and ca. 1825.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archive of Political Parties and Elections in Latin America (APPELA),,,Provides access to documents and other materials from a wide range of political parties and national electoral authorities during 2005.,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archive of the Indigenous Languages of Latin America,,,"Digital archive of recordings and texts related to the indigenous languages of Latin America, including recordings, both audio and video, in a wide range of genres (narratives, chants, oratory, conversations, songs, etc.) The archive also contains language documentation materials, such as grammars, dictionaries and field notes, as well as teaching materials for bilingual education and language revitalization programs.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archive Search,,,ArchiveSearch provides access to finding aids and links to digital records for the majority of archives located in the city of Cambridge.,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archives électorales du CEVIPOF,,,"Depuis 2014, le CEVIPOF (UMR mixte de Sciences Po et du CNRS) et la Bibliothèque de Sciences Po mettent progressivement à disposition sur Internet Archive les archives électorales de 1958 à 2002. Ce fonds, constitué à  partir des années 1950 et toujours enrichi, rassemble le matériel électoral publié à l’occasion d’élections législatives et présidentielles en France et diffusé auprès des électeurs.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archives Historiques de la Gazette de Lausanne et du Journal de Genève,,,"online access to digitised versions of 3 Swiss dailies (now superceded by ""Le Temps""): Journal de Genève, la Gazette de Lausanne and Le Nouveau Quotidien",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archives Hub,,,"Archives Hub provides a gateway to thousands of the UK’s richest archives. Representing over 220 institutions across the country, the Archives Hub is an effective way to discover unique and often little-known sources to support your research.",https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archives of the Campaign for Nuclear Disarmament: Annual Reports;Minutes and other Records;1958-1972,,,Archives Unbound,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archives of the Campaign for Nuclear Disarmament: Annual Reports;Minutes and other Records;1973-1980;and pamphlets and serial items;1958-1980,,,Archives Unbound,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archives of the Campaign for Nuclear Disarmament: Annual Reports;Minutes and other Records;pamphlets and serial items;1981-1985,,,Archives Unbound,https://libguides.cam.ac.uk/az/databases
University of Cambridge,U0005,Archives of the Campaign for Nuclear Disarmament: Pamphlets and Serials;1985-1990 and Bruce Kent's Speeches and Articles;1981-1989,,,Archives Unbound,https://libguides.cam.ac.uk/az/databases
